start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,437,0.000915,0.000132,-2.34,0.171,5.23e-07,1.39e-07
10.0,21.5443469003,72,0.000192,5.86e-05,-3.12,0.57,5.84e-08,2.07e-08
21.5443469003,46.4158883361,23,3.87e-05,1.83e-05,-2.29,0.525,2.37e-08,2.05e-08
46.4158883361,100.0,9,2.89e-08,0,-2.0,0,2.94e-05,0
100.0,215.443469003,14,2.24e-08,0,-2.0,0,2.28e-05,0
215.443469003,464.158883361,13,6.01e-09,0,-2.0,0,6.11e-06,0
464.158883361,1000.0,3,3.86e-09,0,-2.0,0,3.92e-06,0
1000.0,1330.64600003,1,2.83e-09,0,-2.0,0,2.88e-06,0
4289.64600003,4641.58883361,4,5.31e-09,0,-2.0,0,5.4e-06,0
4641.58883361,7049.64600003,0,7.01e-10,0,-2.0,0,7.12e-07,0
